"state","units","meanPrice"
"AK",50,147.74
"AZ",483,144.662525879917
"CA",11583,183.7563670897
"CO",613,132.642740619902
"CT",53,95.622641509434
"DC",1402,171.681169757489
"FL",3066,204.372798434442
"GA",393,119.496183206107
"HI",363,134.176308539945
"IA",2,62.5
"IL",1256,135.93550955414
"IN",267,910.932584269663
"KY",86,290.46511627907
"LA",833,292.220888355342
"MA",1059,169.815864022663
"MD",193,104.088082901554
"MI",63,133.68253968254
"MN",138,125.985507246377
"NC",345,287.089855072464
"NH",2,250
"NJ",83,102.650602409639
"NM",147,118.904761904762
"NV",476,232.672268907563
"NY",13176,169.924559805707
"OH",49,118.428571428571
"OR",898,99.032293986637
"PA",556,118.138489208633
"RI",120,122.25
"SC",85,178.835294117647
"TN",187,100.155080213904
"TX",3204,262.671660424469
"UT",369,428.875338753388
"VA",319,157.58934169279
"WA",824,127.116504854369
"WI",59,111.915254237288
