Country,Yuan (Billion)
South Korea,360
China,400
Malaysia,180
Belarus,7
Indonesia,100
Argentina,70
Iceland,3.5
Singapore,300
New Zealand,25
Uzbekistan,0.7
Mongolia,15
Kazakhstan,7
Russian Federation,150
Thailand,70
Pakistan,10
United Arab Emirates,35
Turkey,10
Australia,200
Ukraine,15
Brazil,190
United Kingdom,200
Hungary,10
Albania,2
Switzerland,150
Sri Lanka,10
Qatar,35
Canada,200
Nepal,1
Suriname,1
South Africa,30
Chile,22
Tajikistan,0.5
Germany,350
France,350
Spain,350
Italy,350
Belgium,350
Netherlands,350
Austria,350
Poland,350
Denmark,350
Portugal,350
Check Republic,350
Slovakia,350
